Date_Time, TimeSinceLoad(s), PPID, TimeStamp_Pupil,NormalPos_X,NormalPos_Y,NormalPos_Z,OriginalPos_X,OriginalPos_Y,OriginalPos_Z,Left_Openess,Right_Openess,Left_Dia,Right_Dia,GazeNormal_Left_X,GazeNormal_Left_Y,GazeNormal_Left_Z,GazeNormal_Right_X,GazeNormal_Right_Y,GazeNormal_Right_Z,EyeCenter_Left_X,EyeCenter_Left_Y,EyeCenter_Left_Z,EyeCenter_Right_X,EyeCenter_Right_Y,EyeCenter_Right_Z, environment,cart_status
0:5/8/2021 22:11:21.967,691.6685,pilot01,3314637,-0.00831604,-0.090499878,0.995849609,-27.62966919,1.282012939,-30.02305603,0.9058339,0.864624441,3.505554199,4.045959473,-0.022827148,-0.078613281,0.996643066,-0.00831604,-0.090499878,0.995849609,32.31323242,1.698944092,-32.79112244,-27.62969971,1.282012939,-30.02305603, VikingFresh,FALSE
0:5/8/2021 22:11:21.991,691.6924,pilot01,3314662,-0.012527466,-0.094161987,0.99546814,-21.23838806,1.322219849,-30.30076599,0.918720126,0.884527445,3.506668091,3.998275757,-0.021453857,-0.078018188,0.99671936,-0.011459351,-0.096084595,0.995300293,32.31401062,1.675735474,-32.70796204,-27.62068176,1.280075073,-30.0138855, VikingFresh,FALSE
0:5/8/2021 22:11:22.020,691.7219,pilot01,3314695,-0.015975952,-0.094390869,0.995391846,-7.627822876,1.400802612,-30.87080383,0.946157753,0.909038365,3.384613037,3.849914551,-0.022399902,-0.079589844,0.996566772,-0.012756348,-0.101791382,0.994720459,32.31338501,1.652679443,-32.6550293,-27.61906433,1.274749756,-29.97776794, VikingFresh,FALSE
0:5/8/2021 22:11:22.051,691.7532,pilot01,3314720,-0.017944336,-0.091247559,0.995651245,-3.67616272,1.399185181,-31.01669312,0.967436314,0.932211876,3.382110596,3.817932129,-0.022460938,-0.07774353,0.99671936,-0.014938354,-0.100219727,0.994842529,32.3127594,1.620880127,-32.59214783,-27.61172485,1.251739502,-29.96888733, VikingFresh,FALSE
0:5/8/2021 22:11:22.091,691.7926,pilot01,3314762,-0.018127441,-0.092697144,0.995513916,2.429382324,1.426528931,-31.25398254,0.981285155,0.940991759,3.278320313,3.722396851,-0.021743774,-0.084457397,0.996185303,-0.014511108,-0.100982666,0.994781494,32.30865479,1.620697021,-32.58514404,-27.61172485,1.231307983,-29.91560364, VikingFresh,FALSE
0:5/8/2021 22:11:22.121,691.8226,pilot01,3314795,-0.019302368,-0.092453003,0.995513916,5.901977539,1.44468689,-31.39241028,0.994806886,0.976387382,3.24798584,3.634719849,-0.023681641,-0.08531189,0.996063232,-0.013717651,-0.101516724,0.994735718,32.30560303,1.617477417,-32.57971191,-27.60945129,1.225387573,-29.88549805, VikingFresh,FALSE
0:5/8/2021 22:11:22.155,691.8566,pilot01,3314829,-0.019577026,-0.095962524,0.995178223,3.788665771,1.419143677,-31.26257324,1,1,3.213699341,3.548446655,-0.023376465,-0.09072876,0.99559021,-0.015411377,-0.101715088,0.994689941,32.30560303,1.607757568,-32.55377197,-27.60340881,1.211502075,-29.84118652, VikingFresh,FALSE
0:5/8/2021 22:11:22.187,691.8885,pilot01,3314862,-0.017166138,-0.096511841,0.995178223,-19.15019226,1.241424561,-30.16921997,1,1,3.136825562,3.521759033,-0.025253296,-0.086547852,0.995925903,-0.015823364,-0.09815979,0.995040894,32.31181335,1.522003174,-32.35177612,-27.60340881,1.195343018,-29.81071472, VikingFresh,FALSE
0:5/8/2021 22:11:22.218,691.9196,pilot01,3314887,-0.021682739,-0.096466064,0.99508667,-16.45916748,1.25050354,-30.28335571,1,1,3.115631104,3.479049683,-0.025680542,-0.086700439,0.995895386,-0.020782471,-0.098693848,0.994888306,32.31181335,1.522003174,-32.35177612,-27.60340881,1.188461304,-29.81071472, VikingFresh,FALSE
0:5/8/2021 22:11:22.256,691.9576,pilot01,3314929,-0.022918701,-0.09286499,0.995407104,0.276260376,1.352020264,-31.03134155,1,1,3.056381226,3.371749878,-0.024215698,-0.087921143,0.995819092,-0.021774292,-0.09715271,0.995025635,32.3026123,1.539886475,-32.42288208,-27.6078949,1.188461304,-29.81977844, VikingFresh,FALSE
0:5/8/2021 22:11:22.289,691.9905,pilot01,3314962,-0.022460938,-0.093902588,0.995315552,-3.983901978,1.341766357,-30.86262512,1,1,2.991455078,3.319335938,-0.0234375,-0.0909729,0.995574951,-0.021820068,-0.095794678,0.995147705,32.2978363,1.566680908,-32.44462585,-27.60881042,1.1953125,-29.83250427, VikingFresh,FALSE
0:5/8/2021 22:11:22.319,692.0206,pilot01,3314987,-0.021697998,-0.094055176,0.995315552,-2.069564819,1.361236572,-30.96183777,1,1,2.99017334,3.2940979,-0.021682739,-0.093185425,0.995407104,-0.021713257,-0.094696045,0.995254517,32.28569031,1.580276489,-32.47729492,-27.60881042,1.198410034,-29.83526611, VikingFresh,FALSE
0:5/8/2021 22:11:22.353,692.0546,pilot01,3315029,-0.022018433,-0.091659546,0.995544434,-0.749221802,1.376876831,-31.02859497,1,1,2.983535767,3.276092529,-0.021270752,-0.093200684,0.995407104,-0.022613525,-0.090408325,0.995635986,32.28405762,1.591766357,-32.49964905,-27.60823059,1.202148438,-29.83250427, VikingFresh,FALSE
0:5/8/2021 22:11:22.385,692.0865,pilot01,3315054,-0.022247314,-0.090484619,0.995635986,1.552520752,1.394256592,-31.12960815,1,1,2.973953247,3.236251831,-0.020095825,-0.092758179,0.995483398,-0.024291992,-0.08833313,0.995788574,32.28417969,1.594299316,-32.49964905,-27.60475159,1.204467773,-29.82975769, VikingFresh,FALSE
0:5/8/2021 22:11:22.419,692.1206,pilot01,3315087,-0.022277832,-0.089981079,0.995681763,2.550201416,1.403915405,-31.16616821,1,1,2.944061279,3.203796387,-0.018859863,-0.092163086,0.995559692,-0.025741577,-0.087783813,0.995803833,32.28419495,1.598602295,-32.49964905,-27.59889221,1.206512451,-29.81408691, VikingFresh,FALSE
0:5/8/2021 22:11:22.453,692.1545,pilot01,3315129,-0.022445679,-0.089645386,0.99571228,2.677978516,1.408157349,-31.17855835,1,1,2.921417236,3.197387695,-0.01802063,-0.091384888,0.995651245,-0.02696228,-0.087875366,0.995758057,32.28341675,1.603515625,-32.51330566,-27.5960083,1.208374023,-29.81365967, VikingFresh,FALSE
0:5/8/2021 22:11:22.488,692.1895,pilot01,3315162,-0.022689819,-0.08934021,0.995727539,-1.77835083,1.387817383,-31,1,1,2.920913696,3.196914673,-0.017990112,-0.090286255,0.995742798,-0.026245117,-0.088623047,0.99571228,32.2762146,1.617706299,-32.55581665,-27.5960083,1.213546753,-29.82049561, VikingFresh,FALSE
0:5/8/2021 22:11:22.522,692.2236,pilot01,3315195,-0.022506714,-0.091186523,0.995574951,7.35055542,1.470031738,-31.49325562,1,1,2.908554077,3.191162109,-0.020309448,-0.089874268,0.995742798,-0.02557373,-0.093048096,0.995330811,32.27165222,1.615737915,-32.55581665,-27.61231995,1.265609741,-30.00253296, VikingFresh,FALSE
0:5/8/2021 22:11:22.556,692.2576,pilot01,3315229,-0.020050049,-0.088470459,0.995864868,25.72613525,1.571960449,-32.26121521,1,1,2.924301147,3.156402588,-0.019744873,-0.087753296,0.995941162,-0.022644043,-0.094360352,0.995269775,32.26852417,1.60798645,-32.5320282,-27.61978149,1.278213501,-30.05302429, VikingFresh,FALSE
0:5/8/2021 22:11:22.588,692.2896,pilot01,3315262,-0.021835327,-0.090530396,0.995651245,9.202819824,1.478851318,-31.5632782,1,1,2.925064087,3.156326294,-0.021255493,-0.088119507,0.995880127,-0.022781372,-0.094360352,0.995269775,32.26828003,1.604522705,-32.50927734,-27.61978149,1.278213501,-30.05302429, VikingFresh,FALSE
0:5/8/2021 22:11:22.621,692.3226,pilot01,3315295,-0.021636963,-0.090759277,0.995635986,0.803436279,1.433456421,-31.22111511,1,1,2.884887695,3.19203186,-0.01991272,-0.087020874,0.996002197,-0.023178101,-0.094116211,0.995285034,32.2681427,1.60585022,-32.51533508,-27.61735535,1.277740479,-30.05209351, VikingFresh,FALSE
0:5/8/2021 22:11:22.656,692.3576,pilot01,3315329,-0.021636963,-0.086334229,0.996017456,20.08512878,1.5340271,-31.98658752,1,1,2.917800903,3.203323364,-0.020797729,-0.084838867,0.996170044,-0.024871826,-0.092132568,0.995422363,32.26651001,1.612182617,-32.52861023,-27.60372925,1.228088379,-29.8646698, VikingFresh,FALSE
0:5/8/2021 22:11:22.685,692.3865,pilot01,3315354,-0.020797729,-0.085418701,0.996124268,22.57211304,1.55039978,-32.09727478,1,1,2.877761841,3.203872681,-0.020019531,-0.084320068,0.996231079,-0.02482605,-0.091140747,0.995513916,32.26580811,1.61265564,-32.52861023,-27.60372925,1.228088379,-29.8646698, VikingFresh,FALSE
0:5/8/2021 22:11:22.719,692.4206,pilot01,3315387,-0.128295898,-0.134185791,0.98260498,31.09902954,1.453277588,-32.61894226,1,1,2.797912598,3.087722778,-0.128189087,-0.134292603,0.98260498,-0.146438599,-0.116073608,0.982376099,31.44602966,1.455047607,-32.63365173,-28.24588013,1.150634766,-30.10293579, VikingFresh,FALSE
0:5/8/2021 22:11:22.751,692.4526,pilot01,3315420,-0.192993164,-0.142242432,0.970825195,19.36073303,1.297119141,-32.2197113,1,1,3.115783691,3.130340576,-0.187683105,-0.142303467,0.971862793,-0.214935303,-0.141983032,0.966247559,30.95358276,1.3490448,-32.72062683,-28.63218689,1.082107544,-30.14595032, VikingFresh,FALSE
